Год,Тип обработки,GPS №,повторность,Размер сухого агрегата,Размеры фракций,"Вес образца, г",region
2019,ПП,Архангельский,1,10-7,<0.25,4.529999999999987,архангельский
2019,ПП,Архангельский,1,5-3,<0.25,4.529999999999987,архангельский
2019,ПП,Архангельский,1,7-5,<0.25,5.010000000000019,архангельский
2019,ПП,Архангельский,1,>10,<0.25,3.5299999999999585,архангельский
2019,ПП,Архангельский,2,10-7,<0.25,3.909999999999968,архангельский
2019,ПП,Архангельский,2,5-3,<0.25,5.000000000000028,архангельский
2019,ПП,Архангельский,2,7-5,<0.25,5.899999999999963,архангельский
2019,ПП,Архангельский,2,>10,<0.25,4.280000000000001,архангельский
2019,ПП,Архангельский,3,10-7,<0.25,5.3100000000000165,архангельский
2019,ПП,Архангельский,3,5-3,<0.25,5.100000000000023,архангельский
2019,ПП,Архангельский,3,7-5,<0.25,4.540000000000006,архангельский
2019,ПП,Архангельский,3,>10,<0.25,3.3400000000000034,архангельский
2019,ПП,Архангельский,4,10-7,<0.25,3.890000000000029,архангельский
2019,ПП,Архангельский,4,5-3,<0.25,3.3599999999999994,архангельский
2019,ПП,Архангельский,4,7-5,<0.25,4.900000000000006,архангельский
2019,ПП,Архангельский,4,>10,<0.25,4.090000000000003,архангельский
2019,ПП,Архангельский,5,10-7,<0.25,3.769999999999996,архангельский
2019,ПП,Архангельский,5,5-3,<0.25,6.089999999999989,архангельский
2019,ПП,Архангельский,5,7-5,<0.25,3.3800000000000097,архангельский
2019,ПП,Архангельский,5,>10,<0.25,3.099999999999966,архангельский
2019,ТТ,Архангельский,1,10-7,<0.25,7.049999999999983,архангельский
2019,ТТ,Архангельский,1,5-3,<0.25,5.2900000000000205,архангельский
2019,ТТ,Архангельский,1,7-5,<0.25,6.909999999999982,архангельский
2019,ТТ,Архангельский,1,>10,<0.25,5.370000000000019,архангельский
2019,ТТ,Архангельский,2,10-7,<0.25,7.5800000000000125,архангельский
2019,ТТ,Архангельский,2,5-3,<0.25,8.800000000000011,архангельский
2019,ТТ,Архангельский,2,7-5,<0.25,8.249999999999929,архангельский
2019,ТТ,Архангельский,2,>10,<0.25,6.67000000000003,архангельский
2019,ТТ,Архангельский,3,10-7,<0.25,4.080000000000027,архангельский
2019,ТТ,Архангельский,3,5-3,<0.25,10.320000000000022,архангельский
2019,ТТ,Архангельский,3,7-5,<0.25,6.229999999999933,архангельский
2019,ТТ,Архангельский,3,>10,<0.25,5.0800000000000125,архангельский
2019,ТТ,Архангельский,4,10-7,<0.25,5.539999999999992,архангельский
2019,ТТ,Архангельский,4,5-3,<0.25,7.550000000000026,архангельский
2019,ТТ,Архангельский,4,7-5,<0.25,7.079999999999984,архангельский
2019,ТТ,Архангельский,4,>10,<0.25,5.2999999999999545,архангельский
2019,ТТ,Архангельский,5,10-7,<0.25,7.790000000000006,архангельский
2019,ТТ,Архангельский,5,5-3,<0.25,5.4599999999999795,архангельский
2019,ТТ,Архангельский,5,7-5,<0.25,5.3799999999999955,архангельский
