"Размер агрегатов, мм","Вес, г",Поврторность,GPS №,Год,Тип обработки,region
>10,1965,1,Архангельский,2019,ТТ,архангельский
10-7,162,1,Архангельский,2019,ТТ,архангельский
7-5,152,1,Архангельский,2019,ТТ,архангельский
5-3,196,1,Архангельский,2019,ТТ,архангельский
3-2,163,1,Архангельский,2019,ТТ,архангельский
2-1,269,1,Архангельский,2019,ТТ,архангельский
1-0.5,305,1,Архангельский,2019,ТТ,архангельский
0.5-0.25,93,1,Архангельский,2019,ТТ,архангельский
<0.25,173,1,Архангельский,2019,ТТ,архангельский
>10,1909,1,Архангельский,2019,ТТ,архангельский
10-7,186,2,Архангельский,2019,ТТ,архангельский
7-5,162,2,Архангельский,2019,ТТ,архангельский
5-3,209,2,Архангельский,2019,ТТ,архангельский
3-2,166,2,Архангельский,2019,ТТ,архангельский
2-1,241,2,Архангельский,2019,ТТ,архангельский
1-0.5,212,2,Архангельский,2019,ТТ,архангельский
0.5-0.25,117,2,Архангельский,2019,ТТ,архангельский
<0.25,149,2,Архангельский,2019,ТТ,архангельский
>10,1260,3,Архангельский,2019,ТТ,архангельский
10-7,229,3,Архангельский,2019,ТТ,архангельский
7-5,194,3,Архангельский,2019,ТТ,архангельский
5-3,278,3,Архангельский,2019,ТТ,архангельский
3-2,225,3,Архангельский,2019,ТТ,архангельский
2-1,604,3,Архангельский,2019,ТТ,архангельский
1-0.5,168,3,Архангельский,2019,ТТ,архангельский
0.5-0.25,259,3,Архангельский,2019,ТТ,архангельский
<0.25,268,3,Архангельский,2019,ТТ,архангельский
>10,1485,4,Архангельский,2019,ТТ,архангельский
10-7,196,4,Архангельский,2019,ТТ,архангельский
7-5,169,4,Архангельский,2019,ТТ,архангельский
5-3,198,4,Архангельский,2019,ТТ,архангельский
3-2,161,4,Архангельский,2019,ТТ,архангельский
2-1,377,4,Архангельский,2019,ТТ,архангельский
1-0.5,176,4,Архангельский,2019,ТТ,архангельский
0.5-0.25,102,4,Архангельский,2019,ТТ,архангельский
<0.25,147,4,Архангельский,2019,ТТ,архангельский
>10,2299,5,Архангельский,2019,ТТ,архангельский
10-7,233,5,Архангельский,2019,ТТ,архангельский
7-5,170,5,Архангельский,2019,ТТ,архангельский
5-3,232,5,Архангельский,2019,ТТ,архангельский
3-2,165,5,Архангельский,2019,ТТ,архангельский
2-1,310,5,Архангельский,2019,ТТ,архангельский
1-0.5,438,5,Архангельский,2019,ТТ,архангельский
0.5-0.25,53,5,Архангельский,2019,ТТ,архангельский
<0.25,54,5,Архангельский,2019,ТТ,архангельский
>10,2519,1,Архангельский,2019,ПП,архангельский
10-7,300,1,Архангельский,2019,ПП,архангельский
7-5,279,1,Архангельский,2019,ПП,архангельский
5-3,395,1,Архангельский,2019,ПП,архангельский
3-2,228,1,Архангельский,2019,ПП,архангельский
2-1,343,1,Архангельский,2019,ПП,архангельский
1-0.5,37,1,Архангельский,2019,ПП,архангельский
0.5-0.25,116,1,Архангельский,2019,ПП,архангельский
<0.25,225,1,Архангельский,2019,ПП,архангельский
>10,1629,2,Архангельский,2019,ПП,архангельский
10-7,254,2,Архангельский,2019,ПП,архангельский
7-5,203,2,Архангельский,2019,ПП,архангельский
5-3,270,2,Архангельский,2019,ПП,архангельский
3-2,162,2,Архангельский,2019,ПП,архангельский
2-1,258,2,Архангельский,2019,ПП,архангельский
1-0.5,28,2,Архангельский,2019,ПП,архангельский
0.5-0.25,64,2,Архангельский,2019,ПП,архангельский
<0.25,72,2,Архангельский,2019,ПП,архангельский
>10,1982,3,Архангельский,2019,ПП,архангельский
10-7,310,3,Архангельский,2019,ПП,архангельский
7-5,278,3,Архангельский,2019,ПП,архангельский
5-3,274,3,Архангельский,2019,ПП,архангельский
3-2,215,3,Архангельский,2019,ПП,архангельский
2-1,349,3,Архангельский,2019,ПП,архангельский
1-0.5,30,3,Архангельский,2019,ПП,архангельский
0.5-0.25,99,3,Архангельский,2019,ПП,архангельский
<0.25,151,3,Архангельский,2019,ПП,архангельский
>10,2165,4,Архангельский,2019,ПП,архангельский
10-7,233,4,Архангельский,2019,ПП,архангельский
7-5,244,4,Архангельский,2019,ПП,архангельский
5-3,236,4,Архангельский,2019,ПП,архангельский
3-2,171,4,Архангельский,2019,ПП,архангельский
2-1,127,4,Архангельский,2019,ПП,архангельский
1-0.5,25,4,Архангельский,2019,ПП,архангельский
0.5-0.25,74,4,Архангельский,2019,ПП,архангельский
<0.25,96,4,Архангельский,2019,ПП,архангельский
>10,1711,5,Архангельский,2019,ПП,архангельский
10-7,209,5,Архангельский,2019,ПП,архангельский
7-5,213,5,Архангельский,2019,ПП,архангельский
5-3,242,5,Архангельский,2019,ПП,архангельский
3-2,185,5,Архангельский,2019,ПП,архангельский
2-1,227,5,Архангельский,2019,ПП,архангельский
1-0.5,85,5,Архангельский,2019,ПП,архангельский
0.5-0.25,78,5,Архангельский,2019,ПП,архангельский
<0.25,71,5,Архангельский,2019,ПП,архангельский
